,wind_dir,year,month,season,pm25,dew_point,humidity,pressure,temp,wind_speed,precipitation,cum_precipitation
2010-01-02,SE,2010,1,4,144.33333333333334,-8.5,77.9375,1024.75,-5.125,24.86,0.0,0.0
2010-01-03,SE,2010,1,4,78.375,-10.125,87.91666666666667,1022.7916666666666,-8.541666666666666,70.93791666666667,0.46666666666666673,11.2
2010-01-04,NW,2010,1,4,29.291666666666668,-20.875,46.208333333333336,1029.2916666666667,-11.5,111.16083333333334,0.0,0.0
2010-01-05,NW,2010,1,4,43.541666666666664,-24.583333333333332,42.041666666666664,1033.625,-14.458333333333334,56.91999999999999,0.0,0.0
2010-01-06,NE,2010,1,4,59.375,-23.708333333333332,39.208333333333336,1033.75,-12.541666666666666,18.511666666666667,0.0,0.0
2010-01-07,NW,2010,1,4,72.45833333333333,-21.25,49.0,1034.0833333333333,-12.5,10.169999999999996,0.0,0.0
2010-01-08,cv,2010,1,4,174.33333333333334,-17.125,64.54166666666667,1028.0,-11.708333333333334,1.9729166666666667,0.0,0.0
2010-01-09,NW,2010,1,4,84.75,-16.333333333333332,57.25,1029.0416666666667,-9.125,13.29875,0.0,0.0
2010-01-10,NW,2010,1,4,55.083333333333336,-15.958333333333334,56.5,1032.5,-8.75,17.41583333333333,0.0,0.0
2010-01-11,NW,2010,1,4,19.916666666666668,-20.708333333333332,37.416666666666664,1034.3333333333333,-8.708333333333334,41.68583333333333,0.0,0.0
2010-01-12,NW,2010,1,4,20.5,-23.541666666666668,39.083333333333336,1030.7083333333333,-12.416666666666666,60.37833333333333,0.0,0.0
2010-01-13,NW,2010,1,4,42.708333333333336,-21.958333333333332,37.708333333333336,1030.4583333333333,-10.0,169.75416666666663,0.0,0.0
2010-01-14,NW,2010,1,4,92.08333333333333,-17.625,53.208333333333336,1025.2083333333333,-9.5,13.238749999999996,0.0,0.0
2010-01-15,NE,2010,1,4,49.833333333333336,-17.166666666666668,44.791666666666664,1036.8333333333333,-7.041666666666667,12.381666666666662,0.0,0.0
2010-01-16,cv,2010,1,4,182.70833333333334,-13.5,67.20833333333333,1033.0416666666667,-8.416666666666666,2.677916666666667,0.0,0.0
2010-01-17,cv,2010,1,4,210.0,-12.083333333333334,68.83333333333333,1028.8333333333333,-7.25,4.134583333333334,0.0,0.0
2010-01-18,NW,2010,1,4,263.375,-9.666666666666666,70.20833333333333,1026.75,-4.916666666666667,4.916250000000001,0.0,0.0
2010-01-19,NW,2010,1,4,341.0,-3.7916666666666665,73.875,1020.6666666666666,0.2916666666666667,4.788333333333334,0.0,0.0
2010-01-20,NW,2010,1,4,70.91666666666667,-11.041666666666666,49.75,1030.2083333333333,-1.1666666666666667,34.481249999999996,0.0,0.0
2010-01-21,NW,2010,1,4,27.75,-21.166666666666668,29.625,1036.375,-6.125,59.07083333333335,0.0,0.0
2010-01-22,NW,2010,1,4,30.0,-18.791666666666668,31.791666666666668,1034.375,-4.583333333333333,93.06208333333332,0.0,0.0
2010-01-23,NW,2010,1,4,23.164215686274513,-17.708333333333332,29.75,1028.0,-1.9166666666666667,43.89208333333334,0.0,0.0
