,horizon,date_origin,date_target,target,stl_lag_1,stl_lag_2,stl_lag_3,stl_lag_4,stl_lag_5,stl_lag_6,stl_lag_7,stl_lag_8,stl_lag_9,stl_lag_10,stl_lag_11,stl_lag_12,stl_lag_13,arima_lag_1,arima_lag_2,arima_lag_3,arima_lag_4,arima_lag_5,arima_lag_6,arima_lag_7,arima_lag_8,arima_lag_9,arima_lag_10,arima_lag_11,arima_lag_12,arima_lag_13
0,1,2011-12-31,2012-01-01,72.25,163.66666666666666,136.625,61.75,160.5,198.875,145.83333333333334,85.625,43.33333333333334,54.625,30.41666666666667,20.854166666666668,84.375,62.79166666666666,163.66666666666666,136.625,61.75,160.5,198.875,145.83333333333334,85.625,43.33333333333334,54.625,30.41666666666667,20.854166666666668,84.375,62.79166666666666
1,2,2011-12-31,2012-01-02,63.41666666666666,72.25,163.66666666666666,136.625,61.75,160.5,198.875,145.83333333333334,85.625,43.33333333333334,54.625,30.41666666666667,20.854166666666668,84.375,72.25,163.66666666666666,136.625,61.75,160.5,198.875,145.83333333333334,85.625,43.33333333333334,54.625,30.41666666666667,20.854166666666668,84.375
2,3,2011-12-31,2012-01-03,14.791666666666664,59.233901600363865,72.25,163.66666666666666,136.625,61.75,160.5,198.875,145.83333333333334,85.625,43.33333333333334,54.625,30.41666666666667,20.854166666666668,62.87093393206354,72.25,163.66666666666666,136.625,61.75,160.5,198.875,145.83333333333334,85.625,43.33333333333334,54.625,30.41666666666667,20.854166666666668
3,4,2011-12-31,2012-01-04,33.833333333333336,141.42164353481164,59.233901600363865,72.25,163.66666666666666,136.625,61.75,160.5,198.875,145.83333333333334,85.625,43.33333333333334,54.625,30.41666666666667,77.12566384985244,62.87093393206354,72.25,163.66666666666666,136.625,61.75,160.5,198.875,145.83333333333334,85.625,43.33333333333334,54.625,30.41666666666667
4,5,2011-12-31,2012-01-05,117.20833333333331,73.73982916973983,141.42164353481164,59.233901600363865,72.25,163.66666666666666,136.625,61.75,160.5,198.875,145.83333333333334,85.625,43.33333333333334,54.625,81.69682699766938,77.12566384985244,62.87093393206354,72.25,163.66666666666666,136.625,61.75,160.5,198.875,145.83333333333334,85.625,43.33333333333334,54.625
5,6,2011-12-31,2012-01-06,113.5,49.39131713718382,73.73982916973983,141.42164353481164,59.233901600363865,72.25,163.66666666666666,136.625,61.75,160.5,198.875,145.83333333333334,85.625,43.33333333333334,83.11355657694337,81.69682699766938,77.12566384985244,62.87093393206354,72.25,163.66666666666666,136.625,61.75,160.5,198.875,145.83333333333334,85.625,43.33333333333334
6,7,2011-12-31,2012-01-07,118.0,55.64698727170322,49.39131713718382,73.73982916973983,141.42164353481164,59.233901600363865,72.25,163.66666666666666,136.625,61.75,160.5,198.875,145.83333333333334,85.625,83.35432756222224,83.11355657694337,81.69682699766938,77.12566384985244,62.87093393206354,72.25,163.66666666666666,136.625,61.75,160.5,198.875,145.83333333333334,85.625
0,1,2012-01-07,2012-01-08,170.45833333333334,118.0,113.5,117.20833333333331,33.833333333333336,14.791666666666664,63.41666666666666,72.25,163.66666666666666,136.625,61.75,160.5,198.875,145.83333333333334,118.0,113.5,117.20833333333331,33.833333333333336,14.791666666666664,63.41666666666666,72.25,163.66666666666666,136.625,61.75,160.5,198.875,145.83333333333334
1,2,2012-01-07,2012-01-09,176.75,170.45833333333334,118.0,113.5,117.20833333333331,33.833333333333336,14.791666666666664,63.41666666666666,72.25,163.66666666666666,136.625,61.75,160.5,198.875,170.45833333333334,118.0,113.5,117.20833333333331,33.833333333333336,14.791666666666664,63.41666666666666,72.25,163.66666666666666,136.625,61.75,160.5,198.875
2,3,2012-01-07,2012-01-10,231.79166666666663,71.97077261192356,170.45833333333334,118.0,113.5,117.20833333333331,33.833333333333336,14.791666666666664,63.41666666666666,72.25,163.66666666666666,136.625,61.75,160.5,134.34525376104213,170.45833333333334,118.0,113.5,117.20833333333331,33.833333333333336,14.791666666666664,63.41666666666666,72.25,163.66666666666666,136.625,61.75,160.5
